row_id,recipe_id,inventory_id,inventory_name,recipe_servings
1,01avch02,inv01,bread,1.0
2,01avch02,inv06,avocado,0.5
3,01avch02,inv05,chicken,1.5
4,01avch02,inv03,swiss,1.0
5,01avch03,inv01,bread,1.0
6,01avch03,inv06,avocado,1.0
7,01avch03,inv05,chicken,3.0
8,01avch03,inv03,swiss,2.0
9,01hmgd02,inv01,bread,1.0
10,01hmgd02,inv02,ham,2.0
11,01hmgd02,inv04,gouda,1.0
12,01hmgd03,inv01,bread,1.0
13,01hmgd03,inv02,ham,4.0
14,01hmgd03,inv04,gouda,2.0
15,01hmsw02,inv01,bread,1.0
16,01hmsw02,inv02,ham,2.0
17,01hmsw02,inv03,swiss,1.0
18,01hmsw03,inv01,bread,1.0
19,01hmsw03,inv02,ham,4.0
20,01hmsw03,inv03,swiss,2.0
21,01cmch02,inv07,hotdog bread,1.0
22,01cmch02,inv08,chilean sausage,1.0
23,01cmch02,inv09,pickled onion,0.5
24,01cmch02,inv06,avocado,0.5
25,01cmch03,inv07,hotdog bread,1.0
26,01cmch03,inv08,chilean sausage,2.0
27,01cmch03,inv09,pickled onion,0.75
28,01cmch03,inv06,avocado,0.75
29,01chich02,inv01,bread,1.0
30,01chich02,inv10,sweet potato,1.0
31,01chich02,inv09,pickled onion,1.0
32,01chich02,inv11,chicharron,2.5
33,02brln02,inv12,berlina,2.0
34,02crep02,inv13,crepe,1.0
35,02crep02,inv14,strawberries,2.0
36,02crep02,inv22,honey,1.0
37,02crep02,inv15,banana,1.0
38,03srba01,inv14,strawberries,2.0
39,03srba01,inv15,banana,0.5
40,03srba01,inv16,milk,1.0
41,03srba01,inv22,honey,2.0
42,03srba02,inv14,strawberries,4.0
43,03srba02,inv15,banana,0.75
44,03srba02,inv16,milk,1.5
45,03srba02,inv22,honey,3.0
46,03srba03,inv14,strawberries,6.0
47,03srba03,inv15,banana,1.0
48,03srba03,inv16,milk,2.0
49,03srba03,inv22,honey,4.0
50,03ciri01,inv17,chirimoya,1.5
51,03ciri01,inv16,milk,2.0
52,03ciri01,inv22,honey,2.0
53,03ciri02,inv17,chirimoya,3.0
54,03ciri02,inv16,milk,2.5
55,03ciri02,inv22,honey,3.0
56,03ciri03,inv17,chirimoya,3.5
57,03ciri03,inv16,milk,3.0
58,03ciri03,inv22,honey,4.0
59,03guan01,inv18,guanabana,1.5
60,03guan01,inv16,milk,2.0
61,03guan01,inv22,honey,2.0
62,03guan02,inv18,guanabana,3.0
63,03guan02,inv16,milk,2.5
64,03guan02,inv22,honey,3.0
65,03guan03,inv18,guanabana,3.5
66,03guan03,inv16,milk,3.0
67,03guan03,inv22,honey,4.0
68,03lucu01,inv19,lucuma,1.5
69,03lucu01,inv16,milk,2.0
70,03lucu01,inv22,honey,2.0
71,03lucu02,inv19,lucuma,3.0
72,03lucu02,inv16,milk,2.5
73,03lucu02,inv22,honey,3.0
74,03lucu03,inv19,lucuma,3.5
75,03lucu03,inv16,milk,3.0
76,03lucu03,inv22,honey,4.0
77,03mgla01,inv20,mango,1.5
78,03mgla01,inv16,milk,2.0
79,03mgla01,inv21,greek yogurt,1.0
80,03mgla01,inv22,honey,3.0
81,03mgla02,inv20,mango,2.0
82,03mgla02,inv16,milk,2.5
83,03mgla02,inv21,greek yogurt,1.5
84,03mgla02,inv22,honey,3.5
85,03mgla03,inv20,mango,2.5
86,03mgla03,inv16,milk,3.0
87,03mgla03,inv21,greek yogurt,2.0
88,03mgla03,inv22,honey,4.0
89,04gpip01,inv23,grape,3.0
90,04gpip01,inv24,pineapple,3.0
91,04gpip01,inv25,peach,3.0
92,04gpip02,inv23,grape,4.5
93,04gpip02,inv24,pineapple,4.5
94,04gpip02,inv25,peach,4.5
95,04gpip03,inv23,grape,6.0
96,04gpip03,inv24,pineapple,6.0
97,04gpip03,inv25,peach,6.0
98,04ngpp01,inv28,orange,3.0
99,04ngpp01,inv25,peach,3.0
100,04ngpp01,inv24,pineapple,3.0
101,04ngpp02,inv28,orange,4.5
102,04ngpp02,inv25,peach,4.5
103,04ngpp02,inv24,pineapple,4.5
104,04ngpp03,inv28,orange,6.0
105,04ngpp03,inv25,peach,6.0
106,04ngpp03,inv24,pineapple,6.0
107,04wtpe01,inv26,watermelon,3.0
108,04wtpe01,inv25,peach,3.0
109,04wtpe01,inv27,lemon,0.5
110,04wtpe02,inv26,watermelon,4.5
111,04wtpe02,inv25,peach,4.5
112,04wtpe02,inv27,lemon,0.75
113,04wtpe03,inv26,watermelon,6.0
114,04wtpe03,inv25,peach,6.0
115,04wtpe03,inv27,lemon,1.0
116,04ngpi01,inv28,orange,3.0
117,04ngpi01,inv24,pineapple,3.0
118,04ngpi02,inv28,orange,4.5
119,04ngpi02,inv24,pineapple,4.5
120,04ngpi03,inv28,orange,6.0
121,04ngpi03,inv24,pineapple,6.0
122,05fry01,inv29,potatoes,1.0
123,05fry01,inv30,seasonings,0.1
124,05fry02,inv29,potatoes,2.5
125,05fry02,inv30,seasonings,0.25
126,05fry03,inv29,potatoes,5.0
127,05fry03,inv30,seasonings,0.5
